,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered,conceded,balls_recoverd,tackles,t_won,t_lost,clearance_attempted,corner_taken,offsides,dribbles,fouls_committed,fouls_suffered,yellow,red,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,total_attempts,on_target,off_target,on_target_rate,blocked,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
47,N. Williams,Liverpool,Defender,180,3,0,0,23.5,,10.0,6.0,2.0,4.0,1.0,,,,4.0,4.0,0.0,0.0,,,,,,,,3.0,1.0,1.0,0.3333333333333333,1.0,73.0,100.0,76.0,42.0,7.0,3.0,1.0
48,Morton,Liverpool,Midfielder,180,2,0,0,23.5,,9.0,5.0,4.0,1.0,2.0,,,,1.0,1.0,0.0,0.0,,,,,,,,,,,,,88.0,76.0,67.0,0.0,0.0,0.0,2.0
49,Phillips,Liverpool,Defender,91,2,0,0,11.2,,5.0,1.0,1.0,0.0,3.0,,,,2.0,0.0,0.0,0.0,,,,,,,,,,,,,44.5,37.0,33.0,0.0,0.0,0.0,1.0
50,Elliott,Liverpool,Midfielder,59,1,0,0,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Woltman,Liverpool,Midfielder,1,1,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Bradley,Liverpool,Midfielder,1,1,0,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Pau Torres,Villarreal,Defender,1080,12,1,0,124.2,,49.0,7.0,3.0,4.0,62.0,,,,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,3.0,0.25,0.0,88.0,506.0,457.0,0.0,0.0,0.0,16.0
54,Rulli,Villarreal,Goalkeeper,1080,12,0,0,61.2,16.0,,,,,,,,,,,,,,,,,,,,,,,,,68.2,489.0,332.0,0.0,0.0,0.0,53.0
55,Parejo,Villarreal,Midfielder,1055,12,1,3,130.9,,48.0,17.0,8.0,9.0,5.0,36.0,0.0,4.0,4.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,4.0,0.2,0.0,84.3,657.0,560.0,56.0,37.0,21.0,52.0
56,Capoue,Villarreal,Midfielder,1046,12,2,4,130.9,,62.0,11.0,1.0,10.0,29.0,0.0,0.0,17.0,19.0,17.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,3.0,4.0,0.3333333333333333,2.0,87.2,491.0,438.0,50.0,2.0,1.0,4.0
